1,1,5,"In physics, work is measured in Joules"
2,0,2,Canine teeth are used for grinding food
3,0,4,"As the temperature increases, the solubility of gasses increases"
4,0,1,Magnets can stick to fridge doors because fridge doors contain a lot of plastic
5,1,3,The deltoid muscle is located at the shoulders
6,0,3,Amphibians are warm blooded
7,1,2,The liver removes toxins from the blood
8,1,1,The moon shines at night because it reflects light from the sun
9,0,5,Microwaves contain more energy than visible light
10,1,5,"In physics, U-values measure how effective a material is an insulator"
11,1,3,Reptiles are vertebrates
12,0,1,Rhinoceros are carnivores
13,1,4,Asexual reproduction produces genetically identical offspring
14,1,5,The acceleration of an object depends on the mass of the object
15,0,4,Hurricanes usually only form if the sea temperature is less than 80 degrees Fahrenheit
16,1,5,Heat transfers through outer space by radiation
17,0,1,Rabbits are omnivores
18,1,3,Butter contains little or no protein
19,0,2,Materials that let electricity pass through them easily are called insulators
20,0,5,"In physics, kinetic particle theory links the movement of particles to chemical energy"
21,1,3,Mercury is the closest planet to the Sun
22,0,2,Seasons are caused by the Earth's rotation around the Sun
23,0,1,Ducklings are adult ducks
24,0,4,White blood cells produce antigens to neutralize pathogens
25,0,5,Kryptonite is commonly used as fuel in nuclear reactors to generate energy
26,0,1,Crocodiles are mammals
27,1,3,Carbon dioxide in the air is absorbed by plants
28,1,3,The spleen filters blood and recycles old red blood cells
29,1,2,Dandelions disperse their seeds by wind
30,1,2,"In physics, force is measured in Newtons"
31,1,4,Voluntary muscles are controlled by the cerebrum
32,1,5,The rate at which an object transfers thermal energy depends on its surface area
33,0,4,Hydrogen is a noble gas
34,1,4,A country's carbon footprint measures their impact on the environment
35,0,4,Epinephrine is a hormone prescribed to treat diabetes
36,1,3,The most abundant gas in the Earth's atmosphere is Nitrogen
37,0,5,Convex lenses are used to correct for short-sightedness
38,0,4,The mass of an element equals the number of protons and electrons in one atom
39,0,2,Sedimentary rocks are formed from cooled lava or magma
40,0,1,Pitch describes the loudness of sounds
41,0,3,The female reproductive cell is called a zygote
42,0,3,Mitochondria are the cell's control centre
43,1,5,Gamma radiation is the most dangerous type of nuclear radiation
44,0,2,Baby horses are called ponies
45,0,2,Respiration is the life process by which an organism synthesizes nutrients from sunlight
46,0,3,Electrons are found at the centre of an atom
47,1,5,Alpha radiation is commonly used to sterilize medical equipment
48,1,1,A famine is when there is not enough food for people to eat
49,1,1,The speed of an object equals the distance it is travelling over time
50,1,1,Tadpoles lose their tails when they change into an adult frog
51,0,1,Elephants are carnivores
52,0,5,Heat transfer between objects occurs faster as the temperature difference between them decreases
53,1,1,Water boils at 100 degrees Celsius at sea level
54,0,5,"When a charge flows through a resistor, it becomes positively charged"
55,1,2,Penguins are not naturally found in the north pole
56,1,4,A catalyst has no effect on the equilibrium of a chemical system
57,0,3,Red blood cells help your body fight pathogens
58,1,4,"In an ammonia molecule, hydrogen and nitrogen atoms share electrons"
59,0,3,Co is the symbol for Copper in the periodic table
60,0,5,"In physics, pressure is measured in Coulombs"
61,0,2,A solar eclipse occurs when the earth blocks the sun's light from reaching the moon
62,1,5,Atoms of an element always have the same number of protons
63,0,3,Joints attach muscles to the skeleton
64,1,2,Herbivores are also known as primary consumers in the food chain
65,1,1,Giraffes are born with long legs and necks
66,0,5,"In physics, electrical current is measured in Volts"
67,1,4,Electrons are lost or gained by atoms in ionic bonding
68,1,1,A two year-old human is a toddler
69,1,5,Infrared radiation has a longer wavelength than visible light
70,0,4,"In humans, the adrenal glands are found in the brain"
71,0,5,"As the speed of a car increases, air resistance decreases"
72,0,1,Birds are reptiles
73,1,3,Animal cells do not contain chloroplasts
74,1,3,Polar bears have a thick layer of fat for insulation
75,1,1,Snails are animals
76,0,2,Newts are commonly found in a desert environment
77,1,2,Magnets are commonly made of iron
78,0,3,Glass is an electrical conductor
79,0,4,Earthquakes most commonly occur at the centre of tectonic plates
80,1,1,Calves are baby cows
81,1,2,Cellular respiration is the process of turning food into energy
82,0,2,Cotton is a synthetic material
83,1,1,Crabs have special front legs known as claws
84,1,4,Antibiotics are ineffective against viruses
85,0,1,Farm animals typically sleep on beds made of wool
86,1,3,Light travels faster than sound
87,1,5,The direction of a magnetic field is perpendicular to a wire carrying a current
88,1,2,Ultraviolet light is invisible to the human eye
89,0,5,The loudness of a sound wave is determined by its frequency
90,0,3,Bleach is a strong acid
91,1,2,A lack of Vitamin C causes scurvy
92,0,4,"During photosynthesis, chemical energy is converted into light energy"
93,1,4,A subsistence farmer is a farmer who focuses on raising animals and growing crops to feed their family
94,1,4,Selective breeding results in an increased risk of diseases in the population
95,0,4,Elements in the standard periodic table are arranged in terms of atomic mass
96,0,1,Baby chickens are called hens
97,0,2,The retina is the nerve that takes signals from the eye to the brain
98,1,4,Combustion reactions are typically irreversible
99,1,2,Snakes need to shed their skin regularly as they grow
100,0,3,"Penicillin, yeast, and mold are examples of bacteria"
101,1,2,Gestation is another name for pregnancy
102,1,4,Darwin's theory was not widely accepted when it was first published in the late 19th century
103,1,2,Sandpaper is typically made of sheets of paper or cloth coated with abrasive material
104,1,3,Cl is the symbol for chlorine in the periodic table
105,0,2,It takes the Earth one year to rotate once on its axis
106,1,1,Flashlights produce light from electricity stored in batteries
107,0,5,A cell or a battery produces an alternating current
108,0,4,GNP measures total value of goods and services produced within the country in a single year
109,0,5,Infrared radiation is typically used to sterilize medical equipment
110,0,1,Hamsters hate to run
111,1,1,The elbow is a joint
112,1,1,Baby eagles typically learn to fly before they leave the nest
113,0,2,An impermeable material is one that allows water to pass through it easily
114,1,2,Rice is typically a good source of carbohydrates
115,1,2,"In winter, nights are longer than days"
116,1,2,Electromagnets are temporary magnets
117,0,4,The amount of water in the body is regulated primarily via thyroid gland
118,1,4,Hurricanes usually form over tropical seas
119,1,2,Flour is made from ground grains or roots
120,0,3,The heart is made of muscle cells known as smooth muscle
121,0,1,Lizards typically have six legs
122,0,5,The center of mass of a regular-shaped object is always located in the center of the object
123,0,2,The sides of a river are called the channels
124,0,5,Thermal energy naturally only flows from colder to hotter objects
125,0,1,Magnets attract plastic
126,1,1,Caterpillars turn into pupa before becoming a butterfly
127,0,4,Fractional distillation uses the tensile strength of substances in crude oil to separate them
128,1,4,Hydrogen gas is typically given off when group 1 elements react with water
129,1,5,"In physics, the weight of an object is equal to the object's mass times gravity"
130,0,4,An alkali is a substance that produces hydrogen ions when added to water
131,0,5,Ultrasound refers to sound waves with frequencies below the audible limit of human hearing
132,1,5,Convection of heat cannot occur for solids
133,1,3,Pupils constrict depending on the amount of light
134,0,1,Soap bubbles are mostly filled with water
135,1,2,Nylon is a synthetic material
136,1,2,When water boils it turns into steam
137,0,2,Water is an opaque material
138,0,1,Clay softens when heated in a kiln
139,0,3,A full moon occurs when the Sun is completely illuminated by the Moon
140,0,3,The muscular wall that separates the left and right sides of the heart is called the ventricle
141,0,4,Increasing the number of impermeable rocks in rivers help decrease the flood risk
142,1,1,Tortoises do not have flippers
143,1,5,Fiber optic broadband is an example of an application of total internal refraction
144,1,1,Crows build their nests in trees
145,1,1,Children can typically walk by the time they become a toddler
146,0,1,Baby kangaroos are called pups
147,0,5,"In physics, force equals mass times velocity"
148,1,5,Step-down transformers help reduce the voltage supplied to each appliance from the mains electricity
149,1,2,Infrared light is invisible to the human eye
150,1,3,Ribosomes are small organelles composed of RNA
